r, U_axial
0.125, 0.0
0.12702351364819545, 0.0005512417394976974
0.13085937500000003, 0.0015614127453449026
0.13469523635180458, 0.002527894057064524
0.13671875000000006, 0.0030208342366689527
0.13874226364819547, 0.0035024673568759745
0.14257812500000006, 0.00438538594130911
0.1464139863518046, 0.005230343971315986
0.14843750000000006, 0.0056613285188550555
0.15046101364819547, 0.006082410491029808
0.15429687500000006, 0.006854195198059667
0.1581327363518046, 0.007592492856112416
0.16015625000000006, 0.007968900281779805
0.1621797636481955, 0.008336512715658021
0.16601562500000006, 0.009009828146124086
0.1698514863518046, 0.00965321623933256
0.17187500000000006, 0.009980906796014577
0.17389851364819545, 0.010300691193404533
0.17773437500000006, 0.010885669085411035
0.18157023635180466, 0.011443598509585713
0.18359375000000006, 0.011727304004227666
0.18561726364819553, 0.012003827452173786
0.18945312500000006, 0.012508699905384607
0.19328898635180458, 0.012988885100745348
0.19531250000000008, 0.013232481145743899
0.19733601364819545, 0.013469492860206345
0.20117187500000006, 0.01390103930956695
0.20500773635180464, 0.014309859118639216
0.20703125000000008, 0.014516559948140615
0.20905476364819553, 0.014717175560045969
0.21289062500000008, 0.015081045586726368
0.21672648635180458, 0.015423834749017585
0.21875000000000006, 0.015596335607156373
0.2207735136481955, 0.015763172310941112
0.22460937500000006, 0.01606412350178834
0.22844523635180458, 0.016345388737651716
0.23046875000000006, 0.016485971905132072
0.2324922636481955, 0.016621249396155564
0.23632812500000006, 0.016863325738025233
0.24016398635180458, 0.01708690868137062
0.24218750000000003, 0.017197523741802986
0.24421101364819545, 0.017303140834046504
0.248046875, 0.01748980863346189
0.2518827363518045, 0.017659010566599288
0.25390625, 0.01774133607505238
0.2559297636481955, 0.017818929707353805
0.259765625, 0.01795318261966376
0.2636014863518045, 0.018070861275275442
0.265625, 0.018126352771006035
0.2676485136481954, 0.018177344046180502
0.271484375, 0.018261785272661354
0.2753202363518046, 0.018330430887521492
0.27734375, 0.018360358725723107
0.2793672636481955, 0.018385989258174664
0.283203125, 0.018422896619089885
0.2870389863518045, 0.01844469235679238
0.2890625, 0.018450171844598136
0.2910860136481955, 0.01845153276567057
0.294921875, 0.018442910759035515
0.2987577363518046, 0.01841978120465836
0.30078125, 0.018401796846530316
0.3028047636481955, 0.01837985217826683
0.306640625, 0.018327474027586735
0.3104764863518045, 0.018261124472668113
0.3125, 0.018220549654903197
0.31452351364819536, 0.018176155315268682
0.318359375, 0.018081597230890943
0.3221952363518046, 0.0179735457707695
0.32421875, 0.017911158877351313
0.3262422636481955, 0.017845078261387558
0.330078125, 0.017709747583950712
0.3339139863518046, 0.017561351549852278
0.3359375, 0.017477849258850535
0.33796101364819553, 0.017390766110294668
0.34179687500000006, 0.017215924602021346
0.34563273635180464, 0.017028402486907013
0.3476562500000001, 0.01692441081932805
0.3496797636481955, 0.016816939939112208
0.3535156250000001, 0.016603723193355617
0.35735148635180464, 0.016378172963030915
0.3593750000000001, 0.016254256525107785
0.3613985136481955, 0.0161269527387793
0.3652343750000001, 0.015876386459110436
0.36907023635180464, 0.015613800940894935
0.3710937500000001, 0.015470470703055107
0.37311726364819553, 0.015323836416115455
0.3769531250000001, 0.015036850151896881
0.3807889863518046, 0.014738130043248962
0.3828125000000001, 0.014575849925250232
0.38483601364819553, 0.014410341525095467
0.3886718750000001, 0.014087780325985802
0.39250773635180464, 0.013753745251555816
0.3945312500000001, 0.01357293772710335
0.3965547636481954, 0.013388971036599806
0.4003906250000001, 0.01303160539322596
0.4042264863518046, 0.012663003351438926
0.4062500000000001, 0.012464054242414806
0.40827351364819553, 0.01226200918884502
0.4121093750000001, 0.01187054355343315
0.4159452363518046, 0.011468059026115272
0.4179687500000001, 0.011251321623080464
0.4199922636481955, 0.011031546254136361
0.4238281250000001, 0.010606626377767943
0.42766398635180464, 0.010170887323628475
0.4296875000000001, 0.009936685943105247
0.4317110136481955, 0.009699499896525791
0.4355468750000001, 0.009241719174911261
0.43938273635180464, 0.008773303086283352
0.4414062500000001, 0.00852193615474181
0.44342976364819564, 0.008267633668427421
0.4472656250000001, 0.007777538652742479
0.45110148635180464, 0.007276977822221441
0.4531250000000001, 0.007008720560378073
0.4551485136481954, 0.006737573094129201
0.45898437500000006, 0.006215668295361312
0.4628202363518046, 0.005683454412879152
0.46484375, 0.005398561180896787
0.4668672636481955, 0.005110819708395477
0.470703125, 0.004557571801170758
0.47453898635180447, 0.003994159981122888
0.4765625, 0.0036928663348501853
0.47858601364819536, 0.0033887633544352064
0.482421875, 0.002804604868203442
0.4862577363518046, 0.002210417189371247
0.48828125, 0.0018929416893189582
0.49030476364819536, 0.0015726929939643905
0.494140625, 0.0009580255647747074
0.4979764863518046, 0.00033345419210412813
0.5, 0.0
