theta vorticity
0.4282730679757094 -0.161702
0.42837963494065434 -0.161738
1.2851355209405426 -0.485191
1.2852386272390675 -0.485224
2.1422664044975193 -0.808656
2.14238519938462 -0.808694
2.99990356391865 -1.13228
2.9999951113133534 -1.13232
3.8575154954945674 -1.45504
3.8576183940711815 -1.45508
4.714657504490646 -1.77611
4.714760287753222 -1.77615
5.5715310297972565 -2.09564
5.571622269739237 -2.09567
6.428270934676277 -2.41349
6.428384805611586 -2.41352
7.285123655447762 -2.72972
7.285225955012805 -2.72975
8.142261455018058 -3.04435
8.142374891108943 -3.04438
8.999913537722335 -3.35758
9.00000408218827 -3.35759
9.85752375533329 -3.66828
9.857625364958295 -3.66832
10.714640606644252 -3.97581
10.714774504782952 -3.97584
11.571543726699218 -4.28025
11.571678975059712 -4.28028
12.428292913071886 -4.58144
12.428404819042953 -4.58147
13.285157688713241 -4.87942
13.285269213391985 -4.87945
14.142327393205647 -5.17427
14.142327393205647 -5.1743
14.999909926082637 -5.46621
15.00002061281586 -5.46622
15.857486102401452 -5.75405
15.857596332849084 -5.75408
16.714665329073682 -6.03732
16.714775078826676 -6.03735
17.571497296253 -6.31609
17.57160654089671 -6.31612
18.428281222299915 -6.59012
18.42838993732687 -6.59015
19.285135843824293 -6.85947
19.28524400504429 -6.8595
20.14232471888181 -7.12426
20.14232471888181 -7.12429
20.99997039018956 -7.38474
20.99997039018956 -7.38475
21.857501170196997 -7.63968
21.857607523840983 -7.63971
22.71459672007302 -7.88882
22.714746672181633 -7.88885
23.571492362693647 -8.1322
23.571643217103457 -8.13223
24.428230898270016 -8.36952
24.428382621105243 -8.36955
25.285107966678538 -8.60085
25.285260524047203 -8.60087
26.142260937775347 -8.82636
26.142363806718777 -8.82639
26.99988407626543 -9.0463
27.00003820116231 -9.04633
27.857553586658838 -9.25949
27.857553586658838 -9.25951
28.714589016479295 -9.46585
28.71474457090474 -9.46587
29.571492858789384 -9.66539
29.571592523457156 -9.66541
30.428244653050882 -9.85777
30.428401496920742 -9.8578
31.28509205343491 -10.0431
31.28524948945028 -10.0431
32.14222753005609 -10.2215
32.14238552322573 -10.2216
32.99984316648599 -10.3934
33.000001681724086 -10.3934
33.85746307686617 -10.5575
33.857622078671994 -10.5575
34.71461279034844 -10.7141
34.71477224298138 -10.7141
35.571513049677634 -10.863
35.57167291705878 -10.863
36.4283270873747 -11.004
36.4283270873747 -11.004
37.2851801503806 -11.1371
37.2851801503806 -11.1371
38.14226269170564 -11.2625
38.142333465206775 -11.2625
38.999909083207484 -11.3806
38.999998137457965 -11.3806
39.85752435571564 -11.4904
39.85768576007558 -11.4904
40.71463625173601 -11.5921
40.71479785515365 -11.5921
41.571512166305666 -11.6857
41.57158820395105 -11.6857
42.428270382886495 -11.7709
42.42843227630547 -11.7709
43.28510278328028 -11.8477
43.28526476743619 -11.8477
44.14228338346797 -11.9165
44.142445421921536 -11.9166
44.99983794334241 -11.9775
45.0 -11.9775
45.00016205665756 -11.9775
45.857554578078464 -12.0299
45.85771661653203 -12.0299
46.71473523256378 -12.0741
46.71489721671972 -12.0741
47.5715677236945 -12.1102
47.57172961711353 -12.1102
48.42832606718625 -12.1377
48.428487833694334 -12.1377
49.28528900121148 -12.1568
49.28528900121148 -12.1568
50.14231423992442 -12.1678
50.14247564428433 -12.1678
51.00000186254201 -12.1709
51.000090916792516 -12.1709
51.857666534793196 -12.1655
51.85773730829433 -12.1655
52.71481984961942 -12.1523
52.71491102202776 -12.1523
53.5716729126253 -12.1313
53.5716729126253 -12.1313
54.42832708294121 -12.102
54.42848695032235 -12.102
55.28529301576671 -12.0646
55.28538720965156 -12.0646
56.14237792132798 -12.0195
56.14253692313383 -12.0195
56.99999831827593 -11.9669
57.000156833514026 -11.9669
57.85761447677427 -11.9064
57.85777246994391 -11.9064
58.714750510549734 -11.8388
58.71490794656508 -11.8388
59.571598503079244 -11.764
59.571755346949104 -11.764
60.42840747654283 -11.6818
60.42850714121063 -11.6818
61.28525542909527 -11.5923
61.285410983520705 -11.5923
62.14244641334115 -11.4959
62.14244641334115 -11.4959
62.999961798837674 -11.3927
63.00011592373457 -11.3927
63.85763619328122 -11.2826
63.85773906222464 -11.2826
64.71473947595278 -11.1666
64.71489203332145 -11.1666
65.57161737889476 -11.0446
65.57176910172997 -11.0446
66.42835678289653 -10.9164
66.42850763730634 -10.9164
67.28525332781837 -10.7821
67.28540327992698 -10.782
68.14239247615899 -10.642
68.14249882980297 -10.642
69.00002960981041 -10.4965
69.00002960981041 -10.4965
69.85767528111819 -10.3455
69.85767528111819 -10.3455
70.71475599495571 -10.19
70.7148641561757 -10.19
71.57161006267313 -10.0301
71.57171877770007 -10.0301
72.42839345910328 -9.86548
72.428502703747 -9.86546
73.28522492117334 -9.69637
73.28533467092632 -9.69636
74.14240366715092 -9.52314
74.14251389759855 -9.52312
74.99997938718415 -9.34597
75.00009007391735 -9.34596
75.85767260679437 -9.16499
75.85778372508699 -9.16496
76.71473078660803 -8.98131
76.71484231128674 -8.98129
77.57159518095706 -8.79488
77.5717070869281 -8.79486
78.42832102494027 -8.6056
78.42845627330075 -8.60558
79.28522549521703 -8.41361
79.2853368746804 -8.41359
80.1423746350417 -8.21925
80.1424762446667 -8.21923
80.99999591781172 -8.02271
81.00008646227764 -8.02269
81.85762510889103 -7.82417
81.85773854498194 -7.82415
82.71477404498717 -7.62479
82.71488771117347 -7.62476
83.57161519438841 -7.42449
83.57171767822788 -7.42447
84.42837773026076 -7.2232
84.42849178019266 -7.22317
85.28522829188613 -7.02102
85.28533107514531 -7.021
86.14238160592882 -6.81829
86.14248450450543 -6.81827
87.00000488868663 -6.61514
87.00009643608135 -6.61512
87.85761480061535 -6.4118
87.85773359550245 -6.41178
88.71476137276092 -6.20938
88.71487593531535 -6.20935
89.57162036505935 -6.00777
89.57171547321072 -6.00775
90.42837963494065 -5.80692
90.42848620190264 -5.8069
91.28523862723908 -5.6069
91.2853417335293 -5.60688
92.14238519938463 -5.40798
92.14248825959078 -5.40796
92.99999511131337 -5.21024
93.00009810211408 -5.21022
93.85761839407117 -5.01393
93.85773272579374 -5.0139
94.71476028775324 -4.82003
94.71487449134264 -4.82001
95.57162226973924 -4.62843
95.57171350965287 -4.62841
96.42838480561159 -4.43905
96.42848728940976 -4.43903
97.28522595501282 -4.25192
97.28534278594077 -4.2519
98.14237489110897 -4.06723
98.14249321371142 -4.06721
99.00000408218827 -3.88502
99.00009462660887 -3.885
99.8576253649583 -3.70548
99.85772697452067 -3.70546
100.71477450478297 -3.52948
100.71488709825584 -3.52946
101.57167897505973 -3.35685
101.57167897505973 -3.35683
102.42840481904294 -3.18749
102.42851672491763 -3.18747
103.28526921339196 -3.02138
103.28538073796818 -3.02137
104.14232739320563 -2.85864
104.14243851138967 -2.85862
105.00002061281586 -2.69925
105.00013129943446 -2.69923
105.85759633284907 -2.54333
105.85770656317622 -2.54332
106.71477507882666 -2.39159
106.71488482845339 -2.39158
107.57160654089672 -2.24383
107.57171578540851 -2.24381
108.42838993732686 -2.09992
108.42853487696054 -2.0999
109.28524400504428 -1.9598
109.28535216612138 -1.95979
110.14232471888181 -1.8235
110.14243230174819 -1.82349
