x_1 rho
0.0 0.3009240089037661
0.00012207 0.3009240413267612
0.00024414 0.3009241387900461
0.00036621 0.30092430109958246
0.00048828 0.30092452844922013
0.00061035 0.300924820645891
0.00073242 0.30092517788229056
0.00085449 0.3009255999670196
0.00097656 0.30092608709092805
0.00109863 0.30092663906496764
0.0012207 0.30092725607747206
0.00134277 0.3009279379424014
0.00146484 0.30092868484493124
0.00158691 0.30092949660265544
0.00170898 0.3009303733969837
0.00183105 0.3009313150497326
0.00195312 0.30093232173797835
0.0020752 0.3009333932883052
0.00219727 0.3009345298729348
0.00231934 0.30093573132371626
0.00244141 0.30093699780754524
0.00256348 0.3009383291619805
0.00268555 0.30093972554817466
0.00280762 0.3009411868097858
0.00292969 0.30094271310186266
0.00305176 0.3009443042744949
0.00317383 0.30094596047632466
0.0032959 0.30094768156414675
0.00341797 0.3009494676799533
0.00354004 0.3009513186874583
0.00366211 0.3009532347218199
0.00378418 0.30095521565382655
0.00390625 0.30095726161167663
0.00402832 0.3009593724733306
0.00415039 0.3009615483599583
0.00427246 0.30096378915673394
0.00439453 0.30096609497778415
0.0045166 0.30096846571548624
0.00463867 0.3009709014769607
0.00476074 0.3009734021617264
0.00488281 0.30097596786998326
0.00500488 0.30097859850828496
0.00512695 0.30098129417003916
0.00524902 0.3009840547686864
0.00537109 0.3009868803910104
0.00549316 0.3009897709571524
0.00561523 0.3009927265474759
0.0057373 0.30099574708860455
0.00585938 0.3009988326547153
0.00598145 0.30100198317866755
0.00610352 0.3010051987287111
0.00622559 0.30100847924367224
0.00634766 0.30101182478615307
0.00646973 0.30101523530065916
0.0065918 0.3010187108444408
0.00671387 0.3010222513673817
0.00683594 0.30102585692168754
0.00695801 0.30102952746231004
0.00708008 0.3010332630367243
0.00720215 0.3010370636046345
0.00732422 0.30104092920910297
0.00744629 0.30104485981426976
0.00756836 0.3010488554591011
0.00769043 0.30105291611185836
0.0078125 0.3010570418077255
0.00793457 0.3010612325187754
0.00805664 0.30106548827671686
0.00817871 0.30106980905713254
0.00830078 0.301074194888554
0.00842285 0.3010786457497822
0.00854492 0.30108316166645854
0.00866699 0.30108774262032245
0.00878906 0.3010923886343995
0.00891113 0.3010970996931014
0.0090332 0.30110187581709824
0.00915527 0.3011067169932222
0.00927734 0.3011116232400333
0.00939941 0.3011165945465482
0.00952148 0.3011216309294458
0.00964355 0.30112673237970744
0.00976562 0.3011318989123445
0.0098877 0.3011371305200985
0.01000977 0.30114242721651097
0.01013184 0.3011477889958956
0.01025391 0.3011532158705055
0.01037598 0.3011587078360543
0.01049805 0.3011642649036725
0.01062012 0.301169887070317
0.01074219 0.3011755743461464
0.01086426 0.30118132672921893
0.01098633 0.3011871442288575
0.0111084 0.3011930268440939
0.01123047 0.3011989745835381
0.01135254 0.3012049874470808
0.01147461 0.3012110654427286
0.01159668 0.3012172085711292
0.01171875 0.30122341683978365
0.01184082 0.30122969025000645
0.01196289 0.3012360288088793
0.01208496 0.30124243251830374
0.01220703 0.3012489013850187
0.0123291 0.3012554354114429
0.01245117 0.30126203460403933
0.01257324 0.30126869896568326
0.01269531 0.3012754285026201
0.01281738 0.3012822232181285
0.01293945 0.3012890831182875
0.01306152 0.30129600820673375
0.01318359 0.3013029984894237
0.01330566 0.3013100539703128
0.01342773 0.3013171746552732
0.0135498 0.3013243605485456
0.01367188 0.3013316116559507
0.01379395 0.30133892798198575
0.01391602 0.301346309532448
0.01403809 0.30135375631206773
0.01416016 0.30136126832664256
0.01428223 0.30136884558111526
0.0144043 0.30137648808130457
0.01452637 0.30138419583234893
0.01464844 0.3013919688401053
0.01477051 0.30139980710989406
0.01489258 0.30140771064762506
0.01501465 0.3014156794587893
0.01513672 0.30142371354936176
0.01525879 0.30143181292499455
0.01538086 0.3014399775917386
0.01550293 0.3014482075553998
0.015625 0.30145650282211356
0.01574707 0.30146486339783335
0.01586914 0.3014732892887869
0.01599121 0.3014817805010709
0.01611328 0.3014903370410112
0.01623535 0.3014989589148439
0.01635742 0.30150764612899916
0.01647949 0.3015163986898496
0.01660156 0.30152521660393355
0.01672363 0.3015340998777586
0.0168457 0.30154304851797564
0.01696777 0.30155206253122563
0.01708984 0.3015611419242753
0.01721191 0.3015702867038982
0.01733398 0.30157949687698
0.01745605 0.30158877245042626
0.01757812 0.3015981134312443
0.0177002 0.3016075198264719
0.01782227 0.30161699164324024
0.01794434 0.3016265288887194
0.01806641 0.30163613157016667
0.01818848 0.3016457996948848
0.01831055 0.3016555332702593
0.01843262 0.3016653323037263
0.01855469 0.3016751968028012
0.01867676 0.3016851267750544
0.01879883 0.30169512222813283
0.0189209 0.30170518316974215
0.01904297 0.3017153096076626
0.01916504 0.30172550154973593
0.01928711 0.3017357590038774
0.01940918 0.3017460819780658
0.01953125 0.30175647048035315
0.01965332 0.3017669245188565
0.01977539 0.3017774441017659
0.01989746 0.3017880292373382
0.02001953 0.30179867993390286
0.0201416 0.30180939619985764
0.02026367 0.3018201780436732
0.02038574 0.3018310254738894
0.02050781 0.3018419384991194
0.02062988 0.30185291712804696
0.02075195 0.301863961369429
0.02087402 0.30187507123209445
0.02099609 0.30188624672494563
0.02111816 0.301897487856958
0.02124023 0.3019087946371809
0.0213623 0.3019201670747377
0.02148438 0.3019316051788262
0.02160645 0.30194310895871923
0.02172852 0.30195467842376467
0.02185059 0.30196631358338605
0.02197266 0.30197801444708305
0.02209473 0.3019897810244314
0.0222168 0.302001613325084
0.02233887 0.30201351135877075
0.02246094 0.30202547513529887
0.02258301 0.3020375046645539
