x_1 rho
0.0 0.2952712382126941
6.10351562e-05 0.2952712489060154
0.00012207 0.2952712809860546
0.00018311 0.2952713344527662
0.00024414 0.29527140930618084
0.00030518 0.295271505546332
0.00036621 0.2952716231732295
0.00042725 0.29527176218688655
0.00048828 0.2952719225873557
0.00054932 0.295272104374649
0.00061035 0.2952723075488688
0.00067139 0.2952725321099896
0.00073242 0.29527277805812
0.00079346 0.29527304539326504
0.00085449 0.295273334115542
0.00091553 0.2952736442249768
0.00097656 0.29527397572167396
0.0010376 0.295274328605708
0.00109863 0.2952747028771199
0.00115967 0.2952750985360538
0.0012207 0.2952755155825607
0.00128174 0.29527595401675943
0.00134277 0.29527641383876024
0.00140381 0.2952768950486664
0.00146484 0.2952773976465627
0.00152588 0.29527792163260025
0.00158691 0.2952784670069074
0.00164795 0.29527903376957254
0.00170898 0.2952796219207634
0.00177002 0.2952802314605947
0.00183105 0.29528086238922946
0.00189209 0.29528151470682473
0.00195312 0.29528218841350184
0.00201416 0.2952828835094431
0.0020752 0.29528359999478887
0.00213623 0.2952843378697314
0.00219727 0.29528509713442985
0.0022583 0.2952858777890712
0.00231934 0.2952866798338407
0.00238037 0.29528750326890085
0.00244141 0.2952883480944792
0.00250244 0.29528921431075583
0.00256348 0.2952901019179247
0.00262451 0.29529101091622295
0.00268555 0.295291941305854
0.00274658 0.29529289308700235
0.00280762 0.2952938662599478
0.00286865 0.29529486082485257
0.00292969 0.2952958767820084
0.00299072 0.2952969141316367
0.00305176 0.2952979728739681
0.00311279 0.29529905300925885
0.00317383 0.29530015453776504
0.00323486 0.29530127745974355
0.0032959 0.2953024217754601
0.00335693 0.2953035874851718
0.00341797 0.29530477458917703
0.003479 0.2953059830877187
0.00354004 0.2953072129811296
0.00360107 0.2953084642696483
0.00366211 0.2953097369536062
0.00372314 0.2953110310332759
0.00378418 0.295312346508977
0.00384521 0.2953136833810246
0.00390625 0.29531504164970707
0.00396729 0.2953164213153801
0.00402832 0.2953178223783367
0.00408936 0.2953192448389149
0.00415039 0.29532068869746597
0.00421143 0.295322153954313
0.00427246 0.29532364060981176
0.0043335 0.2953251486642925
0.00439453 0.2953266781181323
0.00445557 0.295328228971683
0.0045166 0.29532980122530217
0.00457764 0.2953313948793883
0.00463867 0.29533300993427425
0.00469971 0.2953346463903753
0.00476074 0.29533630424806123
0.00482178 0.29533798350773593
0.00488281 0.2953396841697916
0.00494385 0.29534140623461325
0.00500488 0.29534314970263204
0.00506592 0.29534491457424183
0.00512695 0.29534670084984754
0.00518799 0.29534850852993505
0.00524902 0.2953503376148412
0.00531006 0.295352188105062
0.00537109 0.2953540600010055
0.00543213 0.29535595330313424
0.00549316 0.29535786801187003
0.0055542 0.29535980412769536
0.00561523 0.29536176165104056
0.00567627 0.2953637405823931
0.0057373 0.2953657409222087
0.00579834 0.2953677626709592
0.00585938 0.2953698058291185
0.00592041 0.2953718703971998
0.00598145 0.2953739563756513
0.00604248 0.29537606376498377
0.00610352 0.29537819256570697
0.00616455 0.2953803427783297
0.00622559 0.2953825144033324
0.00628662 0.2953847074412697
0.00634766 0.29538692189260884
0.00640869 0.2953891577579164
0.00646973 0.29539141503772015
0.00653076 0.295393693732548
0.0065918 0.29539599384294346
0.00665283 0.29539831536945027
0.00671387 0.2954006583126143
0.0067749 0.2954030226730075
0.00683594 0.2954054084511599
0.00689697 0.29540781564769086
0.00695801 0.29541024426311613
0.00701904 0.2954126942980526
0.00708008 0.2954151657530951
0.00714111 0.2954176586287775
0.00720215 0.29542017292572165
0.00726318 0.29542270864455267
0.00732422 0.2954252657858274
0.00738525 0.295427844350195
0.00744629 0.2954304443382349
0.00750732 0.29543306575059786
0.00756836 0.29543570858790175
0.00762939 0.29543837285076424
0.00769043 0.2954410585398247
0.00775146 0.29544376565572184
0.0078125 0.2954464941991294
0.00787354 0.29544924417065427
0.00793457 0.2954520155709819
0.00799561 0.2954548084007788
0.00805664 0.2954576226606984
0.00811768 0.2954604583514282
0.00817871 0.29546331547359717
0.00823975 0.29546619402795654
0.00830078 0.29546909401517085
0.00836182 0.2954720154359183
0.00842285 0.29547495829091297
0.00848389 0.2954779225808608
0.00854492 0.29548090830647844
0.00860596 0.29548391546845126
0.00866699 0.29548694406753717
0.00872803 0.2954899941044177
0.00878906 0.2954930655798741
0.0088501 0.29549615849462996
0.00891113 0.29549927284942135
0.00897217 0.29550240864497296
0.0090332 0.29550556588207577
0.00909424 0.29550874456147336
0.00915527 0.29551194468392095
0.00921631 0.295515166250215
0.00927734 0.2955184092611043
0.00933838 0.29552167371737836
0.00939941 0.29552495961981445
0.00946045 0.29552826696921153
0.00952148 0.2955315957663861
0.00958252 0.2955349460121003
0.00964355 0.29553831770720507
0.00970459 0.29554171085247716
0.00976562 0.2955451254487462
0.00982666 0.2955485614968592
0.0098877 0.2955520189976082
0.00994873 0.29555549795187636
0.01000977 0.2955589983604475
0.0100708 0.2955625202242098
0.01013184 0.2955660635439946
0.01019287 0.29556962832066414
0.01025391 0.295573214555099
0.01031494 0.29557682224813964
0.01037598 0.29558045140066214
0.01043701 0.29558410201357543
0.01049805 0.2955877740877231
0.01055908 0.29559146762404054
0.01062012 0.2955951826233782
0.01068115 0.29559891908666547
0.01074219 0.2956026770148028
0.01080322 0.2956064564087101
0.01086426 0.2956102572693069
0.01092529 0.29561407959749136
0.01098633 0.2956179233942329
0.01104736 0.2956217886604138
0.0111084 0.2956256753970312
0.01116943 0.2956295836050038
0.01123047 0.2956335132852852
0.0112915 0.29563746443882233
0.01135254 0.2956414370666074
